time                     Te                       dTe                       Ti                       dTi                       ne                       dne                       q                        B0                        flux-Te                  flux-Ti                  flux-ne                  cp-flux-Te               cp-flux-Ti               cp-flux-ne
2.161200000000000010e+00 7.700691228977400442e+02 -3.149467777118174581e+03 5.861158704448270100e+02 -1.932502387056410726e+03 3.931079197937722163e+19 -5.901351092055170048e+18 3.617124534099850575e+00 -2.476047272727269988e+00 4.048409713334999833e+04 7.049769125817630265e+04 2.167594475515065958e+19 1.409214092510750517e+06 2.220956336465379689e+06 1.348744485932164186e+21
2.171199999999999797e+00 7.760517508796855282e+02 -3.174954306390282909e+03 5.915376997438810349e+02 -1.957692711098596874e+03 3.931079197937722163e+19 -5.901351092055170048e+18 3.616742368926987528e+00 -2.476047272727269988e+00 4.018135556818480109e+04 7.019032697370809910e+04 2.110936117101370982e+19 1.403782866159882396e+06 2.214375112361426465e+06 1.348876594227676185e+21
2.181200000000000028e+00 7.825243868046692342e+02 -3.203060078821032675e+03 5.970829593148633876e+02 -1.983322956351701805e+03 3.931079197937722163e+19 -5.901351092055170048e+18 3.616317401463078340e+00 -2.476047272727269988e+00 3.997722760871460196e+04 6.995247667673509568e+04 2.079075674000110797e+19 1.400916658360626549e+06 2.209448478458165191e+06 1.349021440354730115e+21
2.191199999999999815e+00 7.894187885626799925e+02 -3.233342786481951862e+03 6.026543743180682213e+02 -2.008980863972623865e+03 3.931079197937722163e+19 -5.901351092055170048e+18 3.615863732124450891e+00 -2.476047272727269988e+00 3.979754068958850257e+04 6.978755230459690210e+04 2.037660501774195917e+19 1.398703459967194591e+06 2.206211740456157830e+06 1.349174851968430768e+21
2.201200000000000045e+00 7.965381442560355936e+02 -3.264920121871448828e+03 6.080990311516012525e+02 -2.033943457334901723e+03 3.931079197937722163e+19 -5.901351092055170048e+18 3.615400007141028382e+00 -2.476047272727269988e+00 3.970303751462169748e+04 6.973762369232569472e+04 1.982692427061599027e+19 1.398678040926926536e+06 2.205541845592560712e+06 1.349337499765145338e+21
2.211199999999999832e+00 8.037425547040971878e+02 -3.297166012783005044e+03 6.134490091884558751e+02 -2.058366056485572699e+03 3.931079197937722163e+19 -5.901351092055170048e+18 3.614921527589973760e+00 -2.476047272727269988e+00 3.966096764909369813e+04 6.968694781340879854e+04 1.935023907402867917e+19 1.399958879245042335e+06 2.205008204864504747e+06 1.349498502543372714e+21
2.221200000000000063e+00 8.109643206430821465e+02 -3.329673180089327616e+03 6.186759024776829392e+02 -2.082159856293101711e+03 3.931079197937722163e+19 -5.901351092055170048e+18 3.614442923605345026e+00 -2.476047272727269988e+00 3.964659185703330149e+04 6.966178294180899684e+04 1.899786707294069965e+19 1.401897355098948581e+06 2.205111173070591874e+06 1.349659619884509430e+21
2.231199999999999850e+00 8.181157896731206165e+02 -3.362008634415380584e+03 6.236949473511673432e+02 -2.104957537284919908e+03 3.931079197937722163e+19 -5.901351092055170048e+18 3.613969020970681623e+00 -2.476047272727269988e+00 3.967018538961529703e+04 6.969747017827550007e+04 1.873302384114651136e+19 1.404756730473027565e+06 2.206575465560167097e+06 1.349819452319187075e+21
2.241200000000000081e+00 8.251104077717137670e+02 -3.393777567096562962e+03 6.285662843305448177e+02 -2.127010677600870622e+03 3.931079197937722163e+19 -5.901351092055170048e+18 3.613507486632456800e+00 -2.476047272727269988e+00 3.972802789312510140e+04 6.970949489231269399e+04 1.846734619576009933e+19 1.408419395588557469e+06 2.207584378067495767e+06 1.349975699261196861e+21
2.251199999999999868e+00 8.318807981256709354e+02 -3.424612991239159783e+03 6.332921981986469291e+02 -2.148373000578205847e+03 3.931079197937722163e+19 -5.901351092055170048e+18 3.613059499553132881e+00 -2.476047272727269988e+00 3.982095035102630209e+04 6.972131760637840489e+04 1.795550492065804902e+19 1.412900043218460400e+06 2.208616840730691794e+06 1.350127977415354352e+21
