,te.value,ti.value,te.ddrho,ti.ddrho
43,1422.22860924657,1341.929503486698,-4931.089431919145,-3076.936609305916
44,1422.22860924657,1658.923852829384,-4931.089431919145,-3076.936609305916
45,1758.19143846619,452.4802252061361,-4931.089431919145,-3076.936609305916
46,1758.19143846619,769.4745745488223,-4931.089431919145,-3076.936609305916
47,1758.19143846619,1055.70203901776,-4931.089431919145,-3076.936609305916
48,1758.19143846619,1341.929503486698,-4931.089431919145,-3076.936609305916
49,1758.19143846619,1658.923852829384,-4931.089431919145,-3076.936609305916
50,479.5559824375506,452.4802252061361,-4931.089431919145,-2420.64001419792
51,479.5559824375506,769.4745745488223,-4931.089431919145,-2420.64001419792
52,479.5559824375506,1055.70203901776,-4931.089431919145,-2420.64001419792
53,479.5559824375506,1341.929503486698,-4931.089431919145,-2420.64001419792
54,479.5559824375506,1658.923852829384,-4931.089431919145,-2420.64001419792
55,815.5188116571696,452.4802252061361,-4931.089431919145,-2420.64001419792
56,815.5188116571696,769.4745745488223,-4931.089431919145,-2420.64001419792
57,815.5188116571696,1055.70203901776,-4931.089431919145,-2420.64001419792
58,815.5188116571696,1341.929503486698,-4931.089431919145,-2420.64001419792
59,815.5188116571696,1658.923852829384,-4931.089431919145,-2420.64001419792
60,1118.87371045187,452.4802252061361,-4931.089431919145,-2420.64001419792
61,1118.87371045187,769.4745745488223,-4931.089431919145,-2420.64001419792
62,1118.87371045187,1055.70203901776,-4931.089431919145,-2420.64001419792
63,1118.87371045187,1341.929503486698,-4931.089431919145,-2420.64001419792
64,1118.87371045187,1658.923852829384,-4931.089431919145,-2420.64001419792
65,1422.22860924657,452.4802252061361,-4931.089431919145,-2420.64001419792
66,1422.22860924657,769.4745745488223,-4931.089431919145,-2420.64001419792
67,1422.22860924657,1055.70203901776,-4931.089431919145,-2420.64001419792
68,1422.22860924657,1341.929503486698,-4931.089431919145,-2420.64001419792
69,1422.22860924657,1658.923852829384,-4931.089431919145,-2420.64001419792
70,1758.19143846619,452.4802252061361,-4931.089431919145,-2420.64001419792
71,1758.19143846619,769.4745745488223,-4931.089431919145,-2420.64001419792
72,1758.19143846619,1055.70203901776,-4931.089431919145,-2420.64001419792
73,1758.19143846619,1341.929503486698,-4931.089431919145,-2420.64001419792
74,1758.19143846619,1658.923852829384,-4931.089431919145,-2420.64001419792
75,479.5559824375506,452.4802252061361,-4931.089431919145,-1764.343419089925
76,479.5559824375506,769.4745745488223,-4931.089431919145,-1764.343419089925
