,te_value,te_ddrho,ti_value,ti_ddrho,ft,te_transp_flux,ti_transp_flux
27,1081.8623140520522,-931.9483632947715,949.2051390000399,-1032.1064998318843,0,13414.031227315127,14855.660854120504
28,1081.8623140520522,-931.9483632947715,949.20513900004,-1290.1331247898606,0,13414.031227315127,18569.576067650705
29,1081.8623140520522,-931.9483632947715,949.2051390000404,-1548.1597497478224,0,13414.031227315127,22283.491281180697
30,1081.8623140520522,-931.9483632947715,1423.8077085000596,-516.0532499159503,0,13414.031227315127,7427.830427060371
31,1081.8623140520522,-931.9483632947715,1423.8077085000598,-774.0798748739121,0,13414.031227315127,11141.745640590361
32,1081.8623140520522,-931.9483632947715,1423.80770850006,-1032.1064998318739,0,13414.031227315127,14855.660854120351
33,1081.8623140520522,-931.9483632947715,1423.80770850006,-1290.1331247898647,0,13414.031227315127,18569.576067650767
34,1081.8623140520522,-931.9483632947715,1423.80770850006,-1548.1597497478265,0,13414.031227315127,22283.491281180755
35,1081.8623140520522,-931.9483632947715,1898.4102780000794,-516.0532499159399,0,13414.031227315127,7427.830427060218
36,1081.8623140520522,-931.9483632947715,1898.4102780000794,-774.0798748739016,0,13414.031227315127,11141.745640590212
37,1081.8623140520522,-931.9483632947715,1898.41027800008,-1032.1064998318925,0,13414.031227315127,14855.66085412062
38,1081.8623140520522,-931.9483632947715,1898.41027800008,-1290.1331247898543,0,13414.031227315127,18569.576067650614
39,1081.8623140520522,-931.9483632947715,1898.4102780000803,-1548.159749747816,0,13414.031227315127,22283.491281180606
40,1081.8623140520522,-931.9483632947715,2373.0128475000993,-516.0532499159001,0,13414.031227315127,7427.830427059645
41,1081.8623140520522,-931.9483632947715,2373.0128475000993,-774.0798748739203,0,13414.031227315127,11141.745640590478
42,1081.8623140520522,-931.9483632947715,2373.0128475000993,-1032.106499831882,0,13414.031227315127,14855.660854120471
43,1081.8623140520522,-931.9483632947715,2373.0128475000993,-1290.133124789873,0,13414.031227315127,18569.57606765088
44,1081.8623140520522,-931.9483632947715,2373.0128475000997,-1548.1597497478929,0,13414.031227315127,22283.491281181712
