,Unnamed: 0,index,name,te_value,ti_value,te_ddrho,ti_ddrho,ti_transp_flux,ti_transp_flux_std,ti_transp_flux_stem,ti_transp_flux_acn,ft,ti_transp_flux_cov,weight,Unnamed: 0,index,name,te_value,ti_value,te_ddrho,ti_ddrho,te_transp_flux,te_transp_flux_std,te_transp_flux_stem,ti_transp_flux,ti_transp_flux_std,ti_transp_flux_stem,ti_transp_flux_acn,te_transp_flux_acn,ft,te_transp_flux_cov,weight
35,35,,,2875.6013198730093,1091.3174147924924,-1626.4675961489745,-2018.9946679443167,117.0186127797322,47.27672217995484,7.5703342406321825,39.0,0.0,0.4040102771423662,0.1524157902758726,35,,,2875.6013198730093,1091.3174147924924,-1626.4675961489745,-2018.9946679443167,165.5408241184607,75.0591710659019,12.019086488923085,117.0186127797322,47.27672217995484,7.5703342406321825,39.0,39.0,0.0,0.45341788930680743,0.1524157902758726
36,36,,,2875.6013198730093,1781.1562730402793,-3682.698962561785,-4571.471074284643,103715.84569858926,37662.11064152868,6191.612849249636,37.0,0.0,0.363127836328687,0.24386526444139614,36,,,2875.6013198730093,1781.1562730402793,-3682.698962561785,-4571.471074284643,253851.7191334888,84348.9998382487,13866.890153627832,103715.84569858926,37662.11064152868,6191.612849249636,37.0,37.0,0.0,0.33227665397016076,0.24386526444139614
37,37,,,2875.6013198730093,1781.1562730402793,-3682.698962561785,-3295.232871114479,77803.65233200655,11390.167353168486,2152.539300563616,28.0,0.0,0.1463963067513072,0.39018442310623375,37,,,2875.6013198730093,1781.1562730402793,-3682.698962561785,-3295.232871114479,202792.9759241277,22265.707620916462,4366.664524730948,77803.65233200655,11390.167353168486,2152.539300563616,28.0,26.0,0.0,0.1097952605086622,0.39018442310623375
38,38,,,2875.6013198730093,1781.1562730402793,-3682.698962561785,-2018.9946679443167,38385.336322954725,17604.81681432534,2654.025994366227,44.0,0.0,0.4586339081728333,0.24386526444139614,38,,,2875.6013198730093,1781.1562730402793,-3682.698962561785,-2018.9946679443167,112609.72619844857,47577.08818235093,7172.515914477729,38385.336322954725,17604.81681432534,2654.025994366227,44.0,44.0,0.0,0.4224953721893199,0.24386526444139614
39,39,,,2875.6013198730093,1781.1562730402793,-2654.5832793553805,-4571.471074284643,67558.95459534937,13807.381253918442,2657.231761251201,27.0,0.0,0.2043752946832738,0.3901844231062338,39,,,2875.6013198730093,1781.1562730402793,-2654.5832793553805,-4571.471074284643,128413.41336647225,26201.513038843324,5042.483535383894,67558.95459534937,13807.381253918442,2657.231761251201,27.0,27.0,0.0,0.2040403128609954,0.3901844231062338
40,40,,,2875.6013198730093,1781.1562730402793,-2654.5832793553805,-3295.232871114479,37451.20171414609,12236.137396034444,1844.6671193583004,44.0,0.0,0.32672215672621807,0.624295076969974,40,,,2875.6013198730093,1781.1562730402793,-2654.5832793553805,-3295.232871114479,74518.30264552843,26284.234918027,3962.497505666062,37451.20171414609,12236.137396034444,1844.6671193583004,44.0,44.0,0.0,0.35272186811684203,0.624295076969974
41,41,,,2875.6013198730093,1781.1562730402793,-2654.5832793553805,-2018.9946679443167,4535.716300801994,1764.5266187873892,275.5727600086089,41.0,0.0,0.3890293179217117,0.3901844231062338,41,,,2875.6013198730093,1781.1562730402793,-2654.5832793553805,-2018.9946679443167,10489.869196518754,3698.269801637477,584.7477987496768,4535.716300801994,1764.5266187873892,275.5727600086089,41.0,40.0,0.0,0.3525563314807407,0.3901844231062338
42,42,,,2875.6013198730093,1781.1562730402793,-1626.4675961489745,-4571.471074284643,99.1839558687587,45.02532347641947,7.209821922755898,39.0,0.0,0.4539577301796419,0.24386526444139614,42,,,2875.6013198730093,1781.1562730402793,-1626.4675961489745,-4571.471074284643,138.4215419026354,49.95034139694562,9.612947683880089,99.1839558687587,45.02532347641947,7.209821922755898,39.0,27.0,0.0,0.3608567041687795,0.24386526444139614
43,43,,,2875.6013198730093,1781.1562730402793,-1626.4675961489745,-3295.232871114479,103.92776577147824,40.289296666552055,6.370297139626696,40.0,0.0,0.38766634082312756,0.39018442310623375,43,,,2875.6013198730093,1781.1562730402793,-1626.4675961489745,-3295.232871114479,155.42838931644073,48.31015329361295,9.29729333621984,103.92776577147824,40.289296666552055,6.370297139626696,40.0,27.0,0.0,0.31081936514993436,0.39018442310623375
44,44,,,2875.6013198730093,1781.1562730402793,-1626.4675961489745,-2018.9946679443167,77.45739650313033,24.96864785917518,3.899447665439279,41.0,0.0,0.3223533062871034,0.24386526444139614,44,,,2875.6013198730093,1781.1562730402793,-1626.4675961489745,-2018.9946679443167,142.79764438729623,35.65047789836461,6.620127549510331,77.45739650313033,24.96864785917518,3.899447665439279,41.0,29.0,0.0,0.2496573248902711,0.24386526444139614
45,45,,,2875.6013198730093,2470.995131288068,-3682.698962561785,-4571.471074284643,123628.1670361711,16555.11934986567,3246.726023647021,26.0,0.0,0.13391057836376377,0.1524157902758726,45,,,2875.6013198730093,2470.995131288068,-3682.698962561785,-4571.471074284643,313016.52667845105,33702.490782372995,5957.814943773264,123628.1670361711,16555.11934986567,3246.726023647021,26.0,32.0,0.0,0.10767000432853877,0.1524157902758726
46,46,,,2875.6013198730093,2470.995131288068,-3682.698962561785,-3295.232871114479,68941.11822943574,14572.934567386585,2804.562565121149,27.0,0.0,0.2113823352688873,0.2438652644413961,46,,,2875.6013198730093,2470.995131288068,-3682.698962561785,-3295.232871114479,191238.84597067663,37598.7638827854,6864.56370430403,68941.11822943574,14572.934567386585,2804.562565121149,27.0,30.0,0.0,0.19660631025011813,0.2438652644413961
47,47,,,2875.6013198730093,2470.995131288068,-3682.698962561785,-2018.9946679443167,6819.197448882706,2871.24734492232,448.4134991691907,41.0,0.0,0.4210535574670536,0.1524157902758726,47,,,2875.6013198730093,2470.995131288068,-3682.698962561785,-2018.9946679443167,25424.004568588756,9153.83824075957,1429.589353779202,6819.197448882706,2871.24734492232,448.4134991691907,41.0,41.0,0.0,0.36004706560150235,0.1524157902758726
48,48,,,2875.6013198730093,2470.995131288068,-2654.5832793553805,-4571.471074284643,50078.907112580215,23076.325888617208,3519.106706543397,43.0,0.0,0.4607993109102865,0.2438652644413961,48,,,2875.6013198730093,2470.995131288068,-2654.5832793553805,-4571.471074284643,88167.76325573346,39820.94060110973,6072.636510968805,50078.907112580215,23076.325888617208,3519.106706543397,43.0,43.0,0.0,0.4516496634445381,0.2438652644413961
49,49,,,2875.6013198730093,2470.995131288068,-2654.5832793553805,-3295.232871114479,11046.57286242482,5497.655227025932,869.2556153866011,40.0,0.0,0.49767971437787156,0.3901844231062337,49,,,2875.6013198730093,2470.995131288068,-2654.5832793553805,-3295.232871114479,22600.9969189904,10306.33763124802,1629.5750624724153,11046.57286242482,5497.655227025932,869.2556153866011,40.0,40.0,0.0,0.4560125231727349,0.3901844231062337
