Profile: 0/IDA/Te Time: @3.999540 Scale: 1000.00
rho toroidal     Data        Lower        Upper
  0.1410       9.0918       9.0065       10.207
  0.1459       9.0926       9.0216       10.123
  0.1508       9.0929       9.0361       10.034
  0.1556       9.0926       9.0429       9.9557
  0.1605       9.0918       9.0385       9.8589
  0.1653       9.0903       9.0335       9.8182
  0.1701       9.0881       9.0242       9.8869
  0.1749       9.0853       9.0285       9.9796
  0.1797       9.0817       9.0249       10.011
  0.1844       9.0773       9.0241       10.013
  0.1892       9.0722       9.0190       10.199
  0.1940       9.0662       9.0166       10.408
  0.1987       9.0593       9.0133       10.609
  0.2027       9.0515       9.0126       10.713
  0.2068       9.0428       9.0005       10.802
  0.2108       9.0332       8.9838       10.826
  0.2149       9.0225       8.9591       10.623
  0.2190       9.0109       8.9264       10.222
  0.2231       8.9982       8.8857       9.8137
  0.2276       8.9846       8.8652       9.6374
  0.2324       8.9700       8.8579       9.5376
  0.2373       8.9545       8.8566       9.6191
  0.2421       8.9382       8.8544       9.9158
  0.2469       8.9210       8.8583       10.329
  0.2518       8.9030       8.8543       10.725
  0.2570       8.8842       8.8426       10.991
  0.2626       8.8647       8.8301       11.088
  0.2681       8.8444       8.8030       11.087
  0.2736       8.8235       8.7683       10.805
  0.2791       8.8019       8.7125       10.170
  0.2843       8.7796       8.5876       9.4106
  0.2887       8.7568       8.2642       8.9757
  0.2932       8.7333       7.8805       8.8289
  0.2977       8.7094       7.6547       8.7706
  0.3022       8.6849       7.6027       8.7324
  0.3071       8.6599       7.5639       8.7140
  0.3126       8.6345       7.6226       8.7020
  0.3180       8.6087       7.7747       8.6961
  0.3234       8.5824       8.0058       8.7098
  0.3288       8.5558       8.1547       8.7430
  0.3336       8.5288       8.2490       8.8220
  0.3384       8.5016       8.3023       8.9400
  0.3431       8.4740       8.3284       9.0434
  0.3478       8.4462       8.3011       9.0137
  0.3529       8.4182       8.2604       8.9312
  0.3581       8.3900       8.2261       8.8488
  0.3632       8.3615       8.1917       8.7535
  0.3684       8.3330       8.1637       8.6715
  0.3737       8.3043       8.1356       8.5962
  0.3792       8.2755       8.1074       8.5535
  0.3846       8.2466       8.0533       8.5559
  0.3900       8.2177       7.9994       8.5644
  0.3946       8.1888       7.9457       8.5726
  0.3991       8.1598       7.8793       8.5933
  0.4036       8.1309       7.6989       8.4739
  0.4084       8.1020       7.4184       8.3299
  0.4151       8.0732       7.1902       8.2246
  0.4217       8.0445       7.1144       8.1576
  0.4283       8.0159       7.1016       8.1099
  0.4340       7.9875       7.1326       8.0624
  0.4392       7.9592       7.1633       8.0214
  0.4445       7.9311       7.1999       7.9868
  0.4498       7.9031       7.1128       7.9649
  0.4552       7.8755       7.0079       7.9493
  0.4605       7.8480       6.9038       7.9338
  0.4660       7.8208       6.8187       7.9308
  0.4724       7.7938       6.6430       7.9155
  0.4787       7.7669       6.3106       7.8762
  0.4851       7.7403       6.2043       7.8370
  0.4911       7.7138       6.3277       7.7981
  0.4972       7.6874       6.3721       7.7534
  0.5032       7.6611       6.4401       7.7150
  0.5098       7.6350       6.5255       7.6827
  0.5164       7.6089       6.6043       7.6505
  0.5231       7.5828       6.6054       7.6214
  0.5289       7.5569       6.5119       7.6041
  0.5347       7.5309       6.4366       7.5839
  0.5404       7.5050       6.4027       7.5754
  0.5466       7.4791       6.5091       7.5784
  0.5527       7.4531       6.9174       7.6627
  0.5591       7.4271       7.2298       7.9609
  0.5666       7.4011       7.3086       8.2915
  0.5741       7.3750       7.3058       8.3890
  0.5813       7.3488       7.2914       8.3133
  0.5882       7.3225       7.2710       8.2321
  0.5952       7.2961       7.2505       8.1483
  0.6012       7.2696       7.2242       8.0874
  0.6071       7.2429       7.1920       8.1200
  0.6133       7.2161       7.1429       7.9659
  0.6216       7.1892       6.9982       7.5374
  0.6298       7.1620       6.4794       7.2627
  0.6376       7.1347       5.7802       7.1848
  0.6452       7.1071       5.2776       7.1404
  0.6528       7.0794       5.0745       7.1043
  0.6608       7.0514       5.1054       7.0720
  0.6688       7.0231       5.2564       7.0410
  0.6764       6.9949       5.3295       7.0140
  0.6837       6.9668       5.3911       6.9886
  0.6913       6.9392       5.5188       6.9636
  0.6995       6.9123       5.6567       6.9420
  0.7077       6.8864       5.8239       6.9214
  0.7169       6.8618       6.0175       6.9047
  0.7262       6.8387       6.2136       6.8921
  0.7353       6.8173       6.3646       6.8865
  0.7443       6.7979       6.3837       6.8616
  0.7531       6.7808       6.3252       6.8391
  0.7616       6.7662       6.2799       6.8296
  0.7701       6.7543       6.2530       6.8282
  0.7810       6.7454       6.2606       6.8297
  0.7917       6.7397       6.3027       6.8398
  0.8012       6.7376       6.3691       6.8534
  0.8105       6.7382       6.4434       6.8751
  0.8213       6.7366       6.3892       6.8418
  0.8327       6.7266       6.2168       6.8054
  0.8437       6.7022       5.9325       6.7597
  0.8543       6.6574       5.6120       6.6990
  0.8660       6.5867       4.5593       6.6099
  0.8790       6.4840       2.8038       6.4941
