te_value,ti_value,te_ddrho,ti_ddrho,te_transp_flux,ti_transp_flux
1758.19143846619,1055.70203901776,-3138.03503336047,-2420.64001419732,119435.813288271,-2263888.43485346
1118.87371045187,1055.70203901776,-3138.03503336047,-2420.64001419732,179205.901058328,-141419.094302776
815.5188116571696,769.4745745488223,-3138.03503336047,-2420.64001419732,377161.498072299,-157060.312950904
1758.19143846619,1658.923852829384,-3138.03503336047,-2420.64001419732,224761.205259659,-402983.666449564
1422.22860924657,1658.923852829384,-3138.03503336047,-2420.64001419732,498734.47492305,1991774.93336029
1118.87371045187,452.4802252061361,-3138.03503336047,-2420.64001419732,179205.901058328,-2416467.22521262
479.5559824375506,1658.923852829384,-3138.03503336047,-2420.64001419732,21552.5129808873,1296936.39892695
1758.19143846619,1055.70203901776,-3138.03503336047,-2420.64001419732,224761.205259659,-3251310.96677568
1422.22860924657,769.4745745488223,-3138.03503336047,-2420.64001419732,498734.47492305,-4326981.7257464
479.5559824375506,1658.923852829384,-3138.03503336047,-2420.64001419732,288591.491493786,4775126.69483436
479.5559824375506,1055.70203901776,-3138.03503336047,-2420.64001419732,21552.5129808873,658558.336337055
815.5188116571696,769.4745745488223,-3138.03503336047,-2420.64001419732,81280.1676916107,-47142.5406378147
1758.19143846619,452.4802252061361,-3138.03503336047,-2420.64001419732,224761.205259659,-6104691.11166609
1118.87371045187,1658.923852829384,-3138.03503336047,-2420.64001419732,32947.6625008637,931312.879070233
815.5188116571696,1341.929503486698,-3138.03503336047,-2420.64001419732,152913.846780798,1772540.57044182
479.5559824375506,452.4802252061361,-3138.03503336047,-2420.64001419732,21552.5129808873,20180.2737471596
1758.19143846619,1341.929503486698,-3138.03503336047,-2420.64001419732,363070.187776027,-2263401.88931642
1118.87371045187,1055.70203901776,-3138.03503336047,-2420.64001419732,32947.6625008637,-44585.6146608851
815.5188116571696,769.4745745488223,-3138.03503336047,-2420.64001419732,152913.846780798,-64643.9849916415
1422.22860924657,769.4745745488223,-3138.03503336047,-2420.64001419732,107403.393587765,-1974803.95479003
1758.19143846619,769.4745745488223,-3138.03503336047,-2420.64001419732,363070.187776027,-5695093.24597111
1118.87371045187,452.4802252061361,-3138.03503336047,-2420.64001419732,32947.6625008637,-1020484.10839201
815.5188116571696,1658.923852829384,-3138.03503336047,-2420.64001419732,246939.917189407,3654926.86625436
1422.22860924657,1658.923852829384,-3138.03503336047,-2420.64001419732,202106.074651299,1179257.46608917
1118.87371045187,1341.929503486698,-3138.03503336047,-2420.64001419732,442146.396629519,1500816.83518427
1758.19143846619,1341.929503486698,-3138.03503336047,-2420.64001419732,554708.773269653,-3026722.56564798
1118.87371045187,1341.929503486698,-3138.03503336047,-2420.64001419732,95241.6784137746,781904.013901718
815.5188116571696,1055.70203901776,-3138.03503336047,-2420.64001419732,246939.917189407,1188653.34733661
1758.19143846619,1341.929503486698,-3138.03503336047,-2420.64001419732,41310.8473981167,-741449.885476383
1422.22860924657,1055.70203901776,-3138.03503336047,-2420.64001419732,202106.074651299,-1386512.10213116
1118.87371045187,769.4745745488223,-3138.03503336047,-2420.64001419732,442146.396629519,-1886055.61567511
479.5559824375506,452.4802252061361,-3138.03503336047,-2420.64001419732,288591.491493786,73703.1098152207
1118.87371045187,452.4802252061361,-3138.03503336047,-2420.64001419732,95241.6784137746,-1819581.77960157
815.5188116571696,452.4802252061361,-3138.03503336047,-2420.64001419732,246939.917189407,-1273252.82614822
1758.19143846619,452.4802252061361,-3138.03503336047,-2420.64001419732,41310.8473981167,-2660353.63840921
1422.22860924657,452.4802252061361,-3138.03503336047,-2420.64001419732,202106.074651299,-3947738.13455965
815.5188116571696,1658.923852829384,-3138.03503336047,-2420.64001419732,28122.3651963856,1248160.73378538
1758.19143846619,1341.929503486698,-3138.03503336047,-2420.64001419732,119435.813288271,-1260542.81049948
815.5188116571696,1055.70203901776,-3138.03503336047,-2420.64001419732,377161.498072299,1312580.36554872
1422.22860924657,1055.70203901776,-3138.03503336047,-2420.64001419732,326454.87535416,-1928803.1265952
815.5188116571696,1055.70203901776,-3138.03503336047,-2420.64001419732,28122.3651963856,416660.950656215
1758.19143846619,452.4802252061361,-3138.03503336047,-2420.64001419732,119435.813288271,-4522881.0712247
1422.22860924657,1658.923852829384,-3138.03503336047,-2420.64001419732,37151.4401376733,523890.972917188
479.5559824375506,1341.929503486698,-3138.03503336047,-2420.64001419732,117097.867437805,2198955.01372839
1422.22860924657,452.4802252061361,-3138.03503336047,-2420.64001419732,326454.87535416,-5183446.12699023
815.5188116571696,1658.923852829384,-3138.03503336047,-2420.64001419732,81280.1676916107,2048857.47145822
1422.22860924657,1055.70203901776,-3138.03503336047,-2420.64001419732,498734.47492305,-2383621.98233863
1422.22860924657,1055.70203901776,-3138.03503336047,-2420.64001419732,37151.4401376733,-574573.33482114
479.5559824375506,452.4802252061361,-3138.03503336047,-2420.64001419732,117097.867437805,74115.9613079559
815.5188116571696,1055.70203901776,-3138.03503336047,-2420.64001419732,81280.1676916107,635668.572334659
1422.22860924657,1658.923852829384,-3138.03503336047,-2420.64001419732,107403.393587765,794844.787978881
1118.87371045187,1658.923852829384,-3138.03503336047,-2420.64001419732,289440.933822436,2906664.09532805
479.5559824375506,769.4745745488223,-3138.03503336047,-2420.64001419732,189029.487361864,1068120.60345354
815.5188116571696,452.4802252061361,-3138.03503336047,-2420.64001419732,81280.1676916107,-780027.280202034
1422.22860924657,1055.70203901776,-3138.03503336047,-2420.64001419732,107403.393587765,-1072539.19826378
1118.87371045187,769.4745745488223,-3138.03503336047,-2420.64001419732,289440.933822436,-1626682.68506862
479.5559824375506,1055.70203901776,-3138.03503336047,-2420.64001419732,288591.491493786,2405210.05764904
479.5559824375506,769.4745745488223,-3138.03503336047,-2420.64001419732,117097.867437805,841062.099074319
1422.22860924657,452.4802252061361,-3138.03503336047,-2420.64001419732,107403.393587765,-2943235.865961
1118.87371045187,1658.923852829384,-3138.03503336047,-2420.64001419732,442146.396629519,3408868.45401762
1758.19143846619,1658.923852829384,-3138.03503336047,-2420.64001419732,363070.187776027,-445957.619991228
479.5559824375506,1055.70203901776,-3138.03503336047,-2420.64001419732,189029.487361864,1947582.19459725
1758.19143846619,1658.923852829384,-3138.03503336047,-2420.64001419732,41310.8473981167,-87845.4646941717
1422.22860924657,1341.929503486698,-3138.03503336047,-2420.64001419732,202106.074651299,-149003.37356616
1118.87371045187,1055.70203901776,-3138.03503336047,-2420.64001419732,442146.396629519,-163195.955662302
1758.19143846619,1055.70203901776,-3138.03503336047,-2420.64001419732,363070.187776027,-4072063.92071419
1118.87371045187,769.4745745488223,-3138.03503336047,-2420.64001419732,32947.6625008637,-531353.074224285
479.5559824375506,1341.929503486698,-3138.03503336047,-2420.64001419732,288591.491493786,3491320.75952487
1758.19143846619,769.4745745488223,-3138.03503336047,-2420.64001419732,41310.8473981167,-2006749.21762699
1422.22860924657,769.4745745488223,-3138.03503336047,-2420.64001419732,202106.074651299,-2577208.31854359
1118.87371045187,452.4802252061361,-3138.03503336047,-2420.64001419732,442146.396629519,-3735260.36534224
1758.19143846619,452.4802252061361,-3138.03503336047,-2420.64001419732,363070.187776027,-7698170.22143717
1422.22860924657,1341.929503486698,-3138.03503336047,-2420.64001419732,326454.87535416,-356255.811224938
815.5188116571696,1341.929503486698,-3138.03503336047,-2420.64001419732,28122.3651963856,818417.07307333
1758.19143846619,1341.929503486698,-3138.03503336047,-2420.64001419732,554708.773269653,-2715538.00804933
1758.19143846619,1658.923852829384,-3138.03503336047,-2420.64001419732,119435.813288271,-221571.898571811
815.5188116571696,452.4802252061361,-3138.03503336047,-2420.64001419732,28122.3651963856,-487876.92754669
1758.19143846619,452.4802252061361,-3138.03503336047,-2420.64001419732,554708.773269653,-9743465.55507375
1422.22860924657,1341.929503486698,-3138.03503336047,-2420.64001419732,37151.4401376733,-43827.8435478141
