N1,N2,N3,s2,s3,d2,d3,alpha,dt,NITER,flux_mean,flux_std,flux_ref,Te_0_mean_all,Te_0_std_all,Te_0_mean_50%,Te_0_std_50%
10,90,30,0.2,0.2,10,10,0.001,0.01,1000,26655.49921487894,4091.066183416784,27305.779091160664,4463.481889810711,1077.3681989785616,4275.5407951259995,103.67355278227961
10,90,30,0.2,0.2,10,10,0.001,0.1,100,19122.37190153273,9455.125740299945,27305.779091160664,13749.381283730438,18028.879660898947,4534.73587530881,284.800604398116
10,90,30,0.2,0.2,10,10,0.001,0.1,100,19598.38319606323,9681.144347097754,27305.779091160664,13889.1091406282,18472.040273827726,4472.075281423522,131.48467429665786
10,90,30,0.2,0.2,10,10,0.01,0.1,100,28257.30867215376,5858.297122000751,27305.779091160664,4251.270881271134,1053.610437482669,4027.136402112317,328.7809206875021
10,90,30,0.2,0.2,10,10,0.01,0.1,100,27088.17667221952,5546.747837643781,27305.779091160664,4440.386778937469,1008.7804760511731,4170.9568271153585,369.75958474679
10,90,30,0.2,0.2,10,10,0.1,0.1,100,30336.228132778448,14616.270281657602,27305.779091160664,4179.26272733686,886.2357849364578,4489.734714267711,871.7622441672961
10,90,30,0.2,0.2,10,10,0.1,0.1,100,31217.132012792725,13246.543730064841,27305.779091160664,4011.678510576603,874.6489863779993,4018.2425962715406,962.1390161270133
10,90,30,0.2,0.2,10,10,0.1,0.001,10000,30054.726113133413,13670.342038749126,27305.779091160664,3880.339469877215,211.08586308673526,3926.1764787190937,134.07756306475235
10,90,30,0.2,0.2,10,10,0.1,0.001,10000,30042.86418542964,13624.934657417165,27305.779091160664,3880.7774536575234,207.10885816395086,3913.7044622119865,124.19066928339801
10,90,30,0.2,0.2,10,10,0.01,0.001,10000,27734.723078524774,4922.495934161513,27305.779091160664,4167.021853421277,206.02184925007074,4202.526456104577,84.25186063855486
10,90,30,0.2,0.2,10,10,0.01,0.001,10000,27576.853694905196,4891.7287694064335,27305.779091160664,4191.277351724324,208.06426905105826,4246.0973548049,77.26406332670814
10,90,30,0.2,0.2,10,10,0.001,0.001,10000,27180.886472251575,1953.493121322087,27305.779091160664,4241.544555009535,167.23708754159404,4270.496397143271,67.54067816119888
10,90,30,0.2,0.2,10,10,0.001,0.001,10000,27236.625449403782,1933.2969785308028,27305.779091160664,4233.57654324076,170.5943937464432,4277.709965897223,57.83868709734626
10,90,30,0.2,0.2,10,10,0.0001,0.001,10000,26568.429234327807,3908.1814110530427,27305.779091160664,4474.613344862534,1088.9299167170823,4260.227341596716,34.924687682060124
10,90,30,0.2,0.2,10,10,0.0001,0.001,10000,26592.52445717707,3919.0875324676276,27305.779091160664,4471.992945630724,1084.0737208684752,4259.5660876493575,39.3145515339536
10,90,30,0.2,0.2,10,10,0.0001,0.001,10000,26519.737000516772,3939.834356254787,27305.779091160664,4485.448774157697,1102.6408403296014,4278.6185928689265,48.14997494754257
10,90,30,0.2,0.2,10,10,0.0001,0.001,10000,26545.568724512977,3896.1845421016787,27305.779091160664,4479.543327036642,1083.7804857454416,4257.375719497842,32.92694461178046
10,90,30,0.2,0.2,10,10,0.01,0.01,1000,27797.844490051626,5053.585262784319,27305.779091160664,4178.047701445061,263.57136534855675,4178.834973363077,193.64387986956365
10,90,30,0.2,0.2,10,10,0.01,0.01,1000,27978.355546151997,5182.496963337195,27305.779091160664,4155.376068566262,240.15290045823818,4184.371317526873,215.6017038173305
